,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
747,tt0000757,short,She,She,0,1908,\N,\N,"Fantasy,Sci-Fi,Short"
753,tt0000763,short,The Snowman,The Snowman,0,1908,\N,\N,Short
1132,tt0001144,short,The Call,The Call,0,1910,\N,11,"Drama,Short"
1667,tt0001682,short,Home,Home,0,1911,\N,\N,"Drama,Short"
1857,tt0001877,short,She,She,0,1911,\N,24,"Fantasy,Sci-Fi,Short"
2148,tt0002173,short,The Father,The Father,0,1912,\N,\N,"Drama,Short"
2251,tt0002277,short,The Informer,The Informer,0,1912,\N,18,"Drama,Short"
2367,tt0002394,short,The Nurse,The Nurse,0,1912,\N,\N,"Drama,Short"
2518,tt0002545,short,Twilight,Twilight,0,1912,\N,\N,"Drama,Romance,Short"
2839,tt0002866,short,First Love,First Love,0,1913,\N,\N,"Comedy,Romance,Short"
3446,tt0003481,short,The Turning Point,The Turning Point,0,1913,\N,\N,"Drama,Short"
3570,tt0003606,movie,Aftermath,Aftermath,0,1914,\N,\N,Drama
3972,tt0004015,short,The Ghost,The Ghost,0,1913,\N,\N,"Drama,Short"
4110,tt0004157,short,The Informer,The Informer,0,1914,\N,\N,"Drama,Short"
4137,tt0004185,short,Kate,Kate,0,1914,\N,40,"Drama,Short"
5242,tt0005308,movie,Fatherhood,Fatherhood,0,1915,\N,\N,Western
5437,tt0005504,movie,Home,Home,0,1915,\N,\N,"Drama,Romance"
6360,tt0006437,movie,The Blacklist,The Blacklist,0,1916,\N,50,Drama
7098,tt0007190,movie,Playing with Fire,Playing with Fire,0,1916,\N,50,Drama
7238,tt0007330,movie,She,She,0,1916,\N,\N,"Fantasy,Sci-Fi"
7779,tt0007885,movie,The Empress,The Empress,0,1917,\N,50,Drama
7936,tt0008044,movie,Happiness,Happiness,0,1917,\N,50,"Comedy,Drama"
8447,tt0008565,movie,She,She,0,1917,\N,50,"Drama,Fantasy,Sci-Fi"
8576,tt0008694,movie,Treason,Treason,0,1917,\N,50,"Drama,War"
9181,tt0009309,movie,Little Women,Little Women,0,1918,\N,60,"Drama,Family,Romance"
